cluster,count
0,431
1,24897
2,3021
3,1774
4,4120
5,1683
6,16415
7,8506
8,3558
9,7195
10,7878
11,9392
12,3530
13,431
14,2754
15,7144
16,2986
17,11444
18,67
19,3364
20,3965
21,7472
22,3424
23,3976
24,3458
25,2683
26,2884
27,4524
28,3007
29,3626
30,2867
31,3164
32,3442
33,329
34,4874
35,6613
36,3193
37,4065
38,3781
39,402
40,3025
41,4673
42,3978
43,4313
44,3189
45,3151
46,1712
47,3665
48,2303
49,2976
50,3073
51,3552
52,8122
53,3088
54,3521
55,4513
56,1867
57,3001
58,3113
59,2882
60,3078
61,2585
62,4789
63,4809
64,8194
65,4345
66,3158
67,3709
68,3324
69,3454
70,2976
71,5326
72,4019
73,4256
74,3085
75,8399
76,2921
77,3825
78,4179
79,392
80,2977
81,6198
82,3134
83,2790
84,3696
85,3223
86,2734
87,4193
88,3314
89,4174
90,948
91,2802
92,3114
93,2868
94,2497
95,4653
96,3249
97,2885
98,3099
99,2947
100,2838
101,8030
102,3876
103,3529
104,2867
105,3289
106,4090
107,3473
108,3124
109,3135
110,4396
111,69
112,1338
113,4710
114,3466
115,5336
116,5151
117,3401
118,47693
119,3447
120,3193
121,2369
122,3008
123,3142
124,3155
125,3492
126,3128
127,5411
128,4820
129,3070
130,4249
131,2794
132,5060
133,108
134,3270
135,2924
136,2800
137,2848
138,3793
139,177
140,2495
141,3034
142,3348
143,4892
144,2290
145,4991
146,3622
147,2864
148,4547
149,2879
150,5572
151,3089
152,2542
153,3327
154,3887
155,4293
156,1092
157,2941
158,5222
159,3983
160,3188
161,3041
162,2149
163,2626
164,2506
165,3030
166,4412
167,3329
168,3972
169,2244
170,4220
171,2893
172,2219
173,4280
174,3306
175,1992
176,3733
177,4506
178,3557
179,2904
180,4409
181,2052
182,3596
183,3410
184,4050
185,2767
186,3496
187,2936
188,2948
189,4703
190,4426
191,3332
192,2242
193,308
194,168
195,3162
196,143
197,14977
198,3538
199,3562
200,2544
201,4164
202,4278
203,4485
204,2716
205,772
206,2786
207,3707
208,4493
209,3291
210,980
211,3108
212,2786
213,3906
214,1419
215,3985
216,3291
217,4139
218,67
219,5214
220,1999
221,1388
222,317
223,3872
224,2341
225,236
226,3641
227,3515
228,2428
229,4377
230,5581
231,3223
232,3831
233,4879
234,1807
235,2484
236,5459
237,1809
238,3920
239,499
240,390
241,587
242,2930
243,1415
244,3288
245,313
246,3216
247,1365
248,3661
249,1736
250,2886
251,4135
252,616
253,1472
254,2728
255,2365
256,973
257,2402
258,2632
259,4699
260,2777
261,1284
262,282
263,4026
264,5209
265,995
266,1595
267,5255
268,4131
269,4529
270,3550
271,2812
272,3073
273,3006
274,2860
275,6177
276,4854
277,2719
278,3832
279,1118
280,3762
281,2101
282,2866
283,4316
284,1972
285,2731
286,2460
287,4840
288,3844
289,473
290,459
291,3102
292,2203
293,216
294,3177
295,2672
296,3269
297,2967
298,3608
299,348
300,2140
301,2809
302,2347
303,2769
304,152
305,1595
306,3547
307,1097
308,649
309,2702
310,1284
311,4510
312,4219
313,3080
314,3569
315,3349
316,2434
317,2703
318,443
319,3211
320,4420
321,1700
322,3480
323,2848
324,4881
325,3146
326,1302
327,2323
328,1519
329,5340
330,3142
331,1617
332,154
333,2847
334,1474
335,2009
336,260
337,2584
338,2685
339,2949
340,2650
341,2289
342,2617
343,1017
344,5300
345,3694
346,3221
347,238
348,13736
349,2163
350,2751
351,121
352,3393
353,3866
354,125
355,2620
356,2782
357,2913
358,1017
359,3455
360,4788
361,315
362,3032
363,1362
364,3007
365,4007
366,660
367,3063
368,2583
369,849
370,4526
371,2869
372,3334
373,4793
374,1481
375,3223
376,1277
377,1260
378,1656
379,134
380,3677
381,1665
382,3059
383,3197
384,3393
385,2107
386,1769
387,1483
388,4173
389,3314
390,4478
391,3792
392,3919
393,3542
394,4305
395,1256
396,2711
397,2297
398,3268
399,1501
400,2784
401,2788
402,501
403,2681
404,527
405,1673
406,3631
407,2673
408,2498
409,2438
410,477
411,1155
412,5564
413,1534
414,1729
415,2718
416,397
417,1888
418,3138
419,238
420,2768
421,713
422,2322
423,3006
424,3152
