count,date
7737,2017-10-15
6381,2017-10-16
79384,2017-10-17
5983,2017-10-18
4201,2017-10-19
15888,2017-10-20
9173,2017-10-21
8295,2017-10-22
8057,2017-10-23
6936,2017-10-24
6757,2017-10-25
6189,2017-10-26
5966,2017-10-27
4674,2017-10-28
3595,2017-10-29
5930,2017-10-30
3928,2017-10-31
4237,2017-11-01
4243,2017-11-02
2803,2017-11-03
3202,2017-11-04
3134,2017-11-05
2769,2017-11-06
2771,2017-11-07
3080,2017-11-08
6077,2017-11-09
9819,2017-11-10
7282,2017-11-11
5730,2017-11-12
8339,2017-11-13
6452,2017-11-14
4518,2017-11-15
7632,2017-11-16
8774,2017-11-17
5388,2017-11-18
4537,2017-11-19
5304,2017-11-20
7879,2017-11-21
6494,2017-11-22
3568,2017-11-23
4465,2017-11-24
5428,2017-11-25
4348,2017-11-26
4479,2017-11-27
4056,2017-11-28
7350,2017-11-29
8388,2017-11-30
5593,2017-12-01
3420,2017-12-02
3339,2017-12-03
6706,2017-12-04
6811,2017-12-05
33090,2017-12-06
20552,2017-12-07
13310,2017-12-08
4585,2017-12-10
10391,2017-12-11
14470,2017-12-12
12783,2017-12-13
10641,2017-12-14
9304,2017-12-15
8795,2017-12-16
7540,2017-12-17
7544,2017-12-18
8789,2017-12-19
8109,2017-12-20
6804,2017-12-21
5904,2017-12-22
4594,2017-12-23
3176,2017-12-24
2824,2017-12-25
3824,2017-12-26
4515,2017-12-27
4466,2017-12-28
4179,2017-12-29
3128,2017-12-30
3558,2017-12-31
3464,2018-01-01
4798,2018-01-02
5312,2018-01-03
4531,2018-01-04
5526,2018-01-05
4732,2018-01-06
6543,2018-01-07
30398,2018-01-08
14338,2018-01-09
15535,2018-01-10
12487,2018-01-11
9612,2018-01-12
9434,2018-01-13
11759,2018-01-14
13161,2018-01-15
17124,2018-01-16
14761,2018-01-17
14284,2018-01-18
11188,2018-01-19
10674,2018-01-20
9795,2018-01-21
9742,2018-01-22
10020,2018-01-23
10821,2018-01-24
11274,2018-01-25
11204,2018-01-26
9506,2018-01-27
9634,2018-01-28
17860,2018-01-29
10801,2018-01-30
11903,2018-01-31
9189,2018-02-01
8598,2018-02-02
7942,2018-02-03
6555,2018-02-04
6867,2018-02-05
7768,2018-02-06
8635,2018-02-07
9343,2018-02-08
8075,2018-02-10
9948,2018-02-12
10189,2018-02-13
10113,2018-02-14
8197,2018-02-15
6840,2018-02-16
5097,2018-02-17
5294,2018-02-18
7564,2018-02-19
8026,2018-02-20
7740,2018-02-21
6694,2018-02-22
5990,2018-02-23
4588,2018-02-24
5607,2018-02-26
7451,2018-02-27
7348,2018-02-28
7081,2018-03-01
7979,2018-03-02
6204,2018-03-03
7262,2018-03-04
18843,2018-03-05
8759,2018-03-06
7314,2018-03-07
12780,2018-03-08
7788,2018-03-09
4414,2018-03-10
4188,2018-03-11
5558,2018-03-12
6064,2018-03-13
5157,2018-03-14
6424,2018-03-15
7286,2018-03-16
6115,2018-03-17
4696,2018-03-18
5687,2018-03-19
6200,2018-03-20
5531,2018-03-21
5203,2018-03-22
5167,2018-03-23
3495,2018-03-24
3772,2018-03-25
5117,2018-03-26
5062,2018-03-27
5649,2018-03-28
4345,2018-03-29
4170,2018-03-30
3537,2018-03-31
3300,2018-04-01
3792,2018-04-02
4332,2018-04-03
4482,2018-04-04
4032,2018-04-05
4654,2018-04-06
12408,2018-04-07
9998,2018-04-08
9422,2018-04-09
6224,2018-04-10
4823,2018-04-11
4623,2018-04-12
4866,2018-04-13
